;;;;;
Rank;Title;Lifetime Gross;Year;;
1;Avatar;$2,847,246,203;2009;;
2;Avengers: Endgame;$2,797,501,328;2019;;
3;Titanic;$2,201,647,264;1997;;
4;Star Wars: Episode VII - The Force Awakens;$2,069,521,700;2015;;
5;Avengers: Infinity War;$2,048,359,754;2018;;
6;Jurassic World;$1,670,516,444;2015;;
7;The Lion King;$1,662,899,439;2019;;
8;Spider-Man: No Way Home;$1,629,224,074;2021;;
9;The Avengers;$1,518,815,515;2012;;
10;Furious 7;$1,515,341,399;2015;;
11;Frozen II;$1,450,026,933;2019;;
12;Avengers: Age of Ultron;$1,402,809,540;2015;;
13;Black Panther;$1,347,597,973;2018;;
14;Harry Potter and the Deathly Hallows: Part 2;$1,342,321,665;2011;;
15;Star Wars: Episode VIII - The Last Jedi;$1,332,698,830;2017;;
16;Jurassic World: Fallen Kingdom;$1,310,466,296;2018;;
17;Frozen;$1,281,508,100;2013;;
18;Beauty and the Beast;$1,273,576,220;2017;;
19;Incredibles 2;$1,243,089,244;2018;;
20;The Fate of the Furious;$1,236,005,118;2017;;
21;Iron Man 3;$1,214,811,252;2013;;
